"Notes"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"MSA"	"MSA Code"	Count	Population	Crude Rate
	"1999"	"1999"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	25	67334	37.1
	"1999"	"1999"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Other"	"99999"	1707	762792	223.8
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	100	69562	143.8
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Boston-Cambridge-Newton, MA-NH"	"14460"	205	106473	192.5
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Dallas-Fort Worth-Arlington, TX"	"19100"	148	101991	145.1
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Detroit-Warren-Dearborn, MI"	"19820"	100	54119	184.8
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Houston-The Woodlands-Sugar Land, TX"	"26420"	222	119488	185.8
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	2436	850414	286.4
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Miami-Fort Lauderdale-West Palm Beach, FL"	"33100"	60	51557	116.4
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"New York-Newark-Jersey City, NY-NJ-PA"	"35620"	1543	725285	212.7
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Portland-Vancouver-Hillsboro, OR-WA"	"38900"	107	52199	205.0
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Riverside-San Bernardino-Ontario, CA"	"40140"	195	85234	228.8
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Sacramento-Roseville-Arden-Arcade, CA"	"40900"	228	96292	236.8
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"San Diego-Carlsbad, CA"	"41740"	397	150089	264.5
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"San Francisco-Oakland-Hayward, CA"	"41860"	1373	447699	306.7
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"San Jose-Sunnyvale-Santa Clara, CA"	"41940"	535	222884	240.0
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Seattle-Tacoma-Bellevue, WA"	"42660"	392	153273	255.8
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Washington-Arlington-Alexandria, DC-VA-MD-WV"	"47900"	299	178774	167.3
	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Other"	"99999"	3609	1234349	292.4
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Akron, OH"	"10420"	138	42315	326.1
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Albany-Schenectady-Troy, NY"	"10580"	77	28902	266.4
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Albuquerque, NM"	"10740"	19	10795	176.0
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Allentown-Bethlehem-Easton, PA-NJ"	"10900"	27	12085	223.4
