,Cancer Sites,Cancer Sites Code,Year,Year Code,Race,Race Code,Sex,Sex Code,MSA,Count,Population,Crude Rate,latitude,longitude,min_dist,min_dist_squared,geometry,capacity,plant_name,Black,Asian
0,Urinary System,29010-29040,1999,1999,Asian or Pacific Islander,A-PI,0,F,"Los Angeles, CA",55,850414,6.5,34.0536909,-118.2427666,168.89878843192878,28526.800733773438,POINT (-118.2427666 34.0536909),2323.0,Diablo Canyon,0,1
1,Urinary System,29010-29040,1999,1999,Asian or Pacific Islander,A-PI,0,F,"New York, NY",37,725285,5.1,40.7127281,-74.0060152,38.597080507763785,1489.7346237227991,POINT (-74.00601519999999 40.7127281),1299.0,Indian Point 2,0,1
2,Urinary System,29010-29040,1999,1999,Asian or Pacific Islander,A-PI,0,F,"San Francisco, CA",40,447699,8.9,37.779026200000004,-122.4199061,197.29211120005036,38924.177141773034,POINT (-122.4199061 37.7790262),2323.0,Diablo Canyon,0,1
3,Urinary System,29010-29040,1999,1999,Asian or Pacific Islander,A-PI,0,F,"San Jose, CA",18,222884,8.1,37.3361905,-121.89058329999999,157.48024983186872,24800.02908710779,POINT (-121.8905833 37.3361905),2323.0,Diablo Canyon,0,1
4,Urinary System,29010-29040,1999,1999,Asian or Pacific Islander,A-PI,1,M,"Los Angeles, CA",153,785836,19.5,34.0536909,-118.2427666,168.89878843192878,28526.800733773438,POINT (-118.2427666 34.0536909),2323.0,Diablo Canyon,0,1
5,Urinary System,29010-29040,1999,1999,Asian or Pacific Islander,A-PI,1,M,"New York, NY",96,710408,13.5,40.7127281,-74.0060152,38.597080507763785,1489.7346237227991,POINT (-74.00601519999999 40.7127281),1299.0,Indian Point 2,0,1
6,Urinary System,29010-29040,1999,1999,Asian or Pacific Islander,A-PI,1,M,"Sacramento, CA",20,89770,22.3,38.5815719,-121.49439960000001,235.06702004322355,55256.50391200126,POINT (-121.4943996 38.5815719),2323.0,Diablo Canyon,0,1
7,Urinary System,29010-29040,1999,1999,Asian or Pacific Islander,A-PI,1,M,"San Diego, CA",23,135878,16.9,32.7174209,-117.16277140000001,253.8333611212282,64431.37521809984,POINT (-117.1627714 32.7174209),4209.6,Palo Verde,0,1
8,Urinary System,29010-29040,1999,1999,Asian or Pacific Islander,A-PI,1,M,"San Francisco, CA",70,410493,17.1,37.779026200000004,-122.4199061,197.29211120005036,38924.177141773034,POINT (-122.4199061 37.7790262),2323.0,Diablo Canyon,0,1
9,Urinary System,29010-29040,1999,1999,Asian or Pacific Islander,A-PI,1,M,"San Jose, CA",27,223257,12.1,37.3361905,-121.89058329999999,157.48024983186872,24800.02908710779,POINT (-121.8905833 37.3361905),2323.0,Diablo Canyon,0,1
10,Urinary System,29010-29040,1999,1999,Asian or Pacific Islander,A-PI,1,M,"Seattle, WA",22,138813,15.8,47.6038321,-122.3300624,161.67455262766947,26138.660967357064,POINT (-122.3300624 47.6038321),1200.0,Columbia Generating Station,0,1
11,Urinary System,29010-29040,1999,1999,Asian or Pacific Islander,A-PI,1,M,"Washington, DC",19,165375,11.5,38.8949924,-77.0365581,45.213610506695645,2044.2705750511789,POINT (-77.03655809999999 38.8949924),1828.7,Calvert Cliffs Nuclear Power Plant,0,1
12,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Atlanta, GA",67,639692,10.5,33.6238152,-84.1693827,108.62510789078284,11799.414064284212,POINT (-84.1693827 33.6238152),2666.7,Oconee,1,0
13,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Baltimore, MD",58,380479,15.2,39.2908816,-76.610759,37.10085043070168,1376.4731026812974,POINT (-76.610759 39.2908816),2784.6,Peach Bottom,1,0
14,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Baton Rouge, LA",18,129047,13.9,30.445959600000002,-91.18738,23.110276972643184,534.0849017522818,POINT (-91.18738 30.4459596),1035.9,River Bend,1,0
15,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Birmingham, AL",21,154690,13.6,33.543682000000004,-86.77963299999999,82.3190850443027,6776.43176253114,POINT (-86.77963299999999 33.543682),3494.0,Browns Ferry,1,0
16,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Boston, MA",20,168195,11.9,42.3602534,-71.0582912,37.876556053866835,1434.6334985017163,POINT (-71.0582912 42.3602534),670.0,Pilgrim Nuclear Power Station,1,0
17,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Charlotte, NC",22,195720,11.2,35.2272,-80.843083,15.395482820935515,237.02089128972054,POINT (-80.84308299999999 35.2272),2440.6,McGuire,1,0
18,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Chicago, IL",132,934068,14.1,41.875561600000005,-87.6244212,47.33043305694485,2240.169893357938,POINT (-87.6244212 41.8755616),2018.6,Dresden Generating Station,1,0
19,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Cincinnati, OH",25,126065,19.8,39.1014537,-84.5124602,187.90471854479594,35308.18325139898,POINT (-84.51246020000001 39.1014537),925.2,Davis Besse,1,0
20,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Cleveland, OH",34,230945,14.7,41.5051613,-81.6934446,34.99709257675219,1224.7964888257632,POINT (-81.69344460000001 41.5051613),1311.6,Perry,1,0
21,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Columbia, SC",19,113077,16.8,34.000749299999995,-81.03433129999999,26.07387599842018,679.847009580992,POINT (-81.03433129999999 34.0007493),1029.6,V C Summer,1,0
22,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Dallas, TX",49,387557,12.6,32.7762719,-96.7968559,66.44101617928126,4414.408630935514,POINT (-96.7968559 32.7762719),2430.0,Comanche Peak,1,0
23,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Detroit, MI",101,557055,18.1,42.331550899999996,-83.04664029999999,27.652499806925178,764.660745571997,POINT (-83.04664029999999 42.3315509),1281.0,Fermi,1,0
24,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Houston, TX",42,426528,9.8,29.7589382,-95.36769740000001,78.0733731731353,6095.451598631642,POINT (-95.36769740000001 29.7589382),2708.6,South Texas Project,1,0
25,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Indianapolis, IN",18,120363,15.0,39.9162861,-86.0526777824462,144.6102881129262,20912.135428103527,POINT (-86.0526777824462 39.9162861),2285.3,Donald C Cook,1,0
26,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Los Angeles, CA",96,568465,16.9,34.0536909,-118.2427666,168.89878843192878,28526.800733773438,POINT (-118.2427666 34.0536909),2323.0,Diablo Canyon,1,0
27,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"Miami, FL",38,520422,7.3,25.7742658,-80.1936589,24.834477445366254,616.7512699844052,POINT (-80.1936589 25.7742658),2861.2,Turkey Point,1,0
28,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"New Orleans, LA",36,272666,13.2,29.949932300000004,-90.0701156,24.279049651110913,589.472251961109,POINT (-90.07011559999999 29.9499323),1199.8,Waterford 3,1,0
29,Urinary System,29010-29040,1999,1999,Black or African American,2054-5,0,F,"New York, NY",270,2048268,13.2,40.7127281,-74.0060152,38.597080507763785,1489.7346237227991,POINT (-74.00601519999999 40.7127281),1299.0,Indian Point 2,1,0
